White,Black,Result,Moves
Blad63,saubhagya,0-1,1. Nf3 d5 2. d4 Bf5 3. Bf4 e6 4. e3 Bd6 5. Bg3 Nf6 6. c4 c6 7. Nc3 Bxg3 8. hxg3 Nbd7 9. Bd3 Ne4 10. cxd5 c5 11. dxe6 fxe6 12. Bxe4 Bxe4 13. Nxe4 cxd4 14. Qd3 Qa5+ 15. Nfd2 O-O-O 16. Qxd4 Kb8 17. O-O Nf6 18. Qe5+ Qxe5 19. Nxf6 gxf6 20. Nf3 Qb5 21. b3 h5 22. Rab1 f5 23. Nd4 Qe5 24. Nf3 Qf6 25. b4 e5 26. a4 f4 27. gxf4 exf4 28. Rfe1 fxe3 29. Rxe3 Rhg8 30. Rbe1 h4 31. Nh2 Rdf8 32. Rf1 Qg5 33. g3 hxg3 34. Rxg3 Qh6 35. Kg2 Rxg3+ 36. fxg3 Rxf1 37. Nxf1 Qc6+ 38. Kh3 Qxa4 39. Ne3 Qxb4 40. Nf5 Qf8 41. g4 a5 42. Kh4 a4 43. Nd4 a3 44. Nb3 a2 45. g5 Qb4+ 46. Kh5 Qxb3 47. g6 a1=Q 48. g7 Qh1+ 49. Kg6 Qe6+ 50. Kg5 Qg2+ 51. Kf4 Qf2+ 52. Kg5 Qef6+ 53. Kg4 Q2f3#
saubhagya,DavidBaraka,1-0,1. d4 d5 2. c4 Nc6 3. Nc3 dxc4 4. Nf3 Nf6 5. e4 Bg4 6. Be3 e6 7. Bxc4 Bb4 8. Qd3 Bxc3+ 9. Qxc3 Nxe4 10. Qd3 Bxf3 11. gxf3 Nd6 12. Bb5 Nxb5 13. Qxb5 a6 14. Qxb7 Nxd4 15. O-O-O e5 16. Bxd4 exd4 17. Rhe1+ Kf8 18. Rxd4 Qb8 19. Qc6 g6 20. Qf6 Rg8 21. Rd7 Rg7 22. Ree7 Qb6 23. Rxf7+
MightyMilk,saubhagya,1-0,1. e4 b6 2. d4 Bb7 3. Bd3 d5 4. e5 Nc6 5. Nf3 g6 6. c3 Bg7 7. O-O e6 8. h3 Nge7 9. a4 a5 10. Na3 O-O 11. Re1 Na7 12. Bg5 Qd7 13. Qd2 c5 14. Bh6 cxd4 15. Bxg7 Kxg7 16. cxd4 Rac8 17. Nb5 Nxb5 18. axb5 Rc7 19. h4 Rfc8 20. h5 Nc6 21. bxc6 Bxc6 22. Nh4 Qe7 23. h6+ Kg8 24. Qf4 g5 25. Qg4 Kh8 26. Nf3 Rg8 27. Kh2 f6 28. exf6 Qxf6 29. Ne5 Qxh6+ 30. Kg1 Qf6 31. Qh3 Rgg7 32. Rac1 Be8 33. Ng4 Qxd4 34. Rxc7 Rxc7 35. Rxe6 Rc1+ 36. Kh2 Qf4+ 37. g3 Rh1+ 38. Kxh1 Qf3+ 39. Kh2 Qxd3 40. Rxe8+ Kg7 41. Qh6+ Kf7 42. Re6 Qf5 43. Rf6+ Qxf6 44. Qxf6+ Ke8 45. Qxg5 Kd7 46. Qxd5+ Kc7 47. Qb5 Kb7 48. Ne5 h5 49. Nf7 a4 50. g4 a3 51. Kg3 hxg4 52. bxa3 Kc7 53. Kxg4 Kb7 54. f3 Kc7 55. f4 Kb7 56. f5 Kc7 57. Kg5 Kc8 58. Kg6 Kb7 59. f6 Kc7 60. Ng5 Kd6 61. Kg7 Kc7 62. f7 Kb7 63. f8=Q Ka7 64. Qf7+ Ka8 65. Qa6+ Kb8 66. Qfb7#
saubhagya,Juergen60,1-0,1. d4 d6 2. c4 Nf6 3. Nc3 Nbd7 4. Nf3 e5 5. dxe5 dxe5 6. e4 Be7 7. a3 O-O 8. Be2 c6 9. O-O Qc7 10. Be3 Nc5 11. Bxc5 Bxc5 12. b4 Be7 13. Qc2 a5 14. b5 cxb5 15. Nxb5 Qc5 16. a4 Be6 17. Rac1 Rac8 18. Qb2 h6 19. Nxe5 Nxe4 20. Bd3 Nf6 21. Rfe1 Nd7 22. Nxd7 Bxd7 23. Qe2 Bf6 24. Qe4 g6 25. Qxb7 Bc6 26. Qa7 Qb4 27. Qe3 Kg7 28. Qg3 Qxa4 29. Nd6 Rcd8 30. Nxf7 Rxf7 31. Qxg6+ Kf8 32. Qxh6+ Kg8 33. Bg6 Rg7 34. Bh7+ Kf8 35. Qxf6+ Rf7 36. Qxd8+
krishan123,saubhagya,1-0,1. e4 c6 2. f4 d5 3. e5 Bf5 4. h3 h5 5. Nf3 e6 6. Ng5 Be7 7. d4 Bxg5 8. fxg5 Qb6 9. c3 c5 10. Bd3 Ne7 11. O-O Bxd3 12. Qxd3 O-O 13. Na3 cxd4 14. c4 Nbc6 15. Nb5 Nxe5 16. Qxd4 Qxd4+ 17. Nxd4 Nxc4 18. b3 Nd6 19. Ba3 Nec8 20. Rac1 Rd8 21. Rc7 Nb6 22. Bxd6 Rxd6 23. Rfxf7 Rb8 24. Rxg7+ Kf8 25. Rcf7+ Ke8 26. Re7+ Kd8 27. Nxe6+ Rxe6 28. Rxe6 Nd7 29. Rh6 Kc7 30. Rxh5 Rf8 31. Rhh7 Rd8 32. Re7 Kd6 33. g6 Nf6 34. Rhf7 Ng8 35. Rxb7 Nh6 36. Rh7 Nf5 37. g7
saubhagya,petrovmakedonija,1-0,1. d4 d6 2. c4 c6 3. Nc3 Nd7 4. e4 Qc7 5. Be3 e5 6. Nf3 a6 7. Bd3 h6 8. Qd2 g5 9. h3 Ne7 10. a3 Nf6 11. b4 Ng6 12. d5 Nh5 13. g3 Be7 14. O-O-O Kf8 15. h4 g4 16. Bxh6+ Kg8 17. Nh2 Bxh4 18. gxh4 Nxh4 19. Rdg1 Nf3 20. Nxf3 Nf4 21. Bxf4 Rxh1 22. Rxh1 gxf3 23. Bh6 Qe7 24. Rg1+ Kh7 25. Bg5 Qf8 26. Bf6 Qh6 27. Bg5 Qh2 28. Qe1 Bh3 29. Rh1 Qg2 30. Be3 Rg8 31. Nd1 Rg6 32. dxc6 bxc6 33. c5 Kg7 34. cxd6 Rxd6 35. Rg1 Rxd3 36. Rxg2+ Bxg2 37. Qg1 Rxa3 38. Bc5 a5 39. Qh2 Ra1+ 40. Kc2 axb4 41. Qxe5+ f6 42. Qxa1 Bf1 43. Bxb4 Be2 44. Qc3 Kg6 45. Qxc6 Kg5 46. Bd2+ Kg4 47. Qxf6 Bxd1+ 48. Kxd1 Kh3 49. Qxf3+ Kh2 50. Qg3+ Kh1 51. Qg8 Kh2 52. f3 Kh1 53. f4 Kh2 54. f5 Kh1 55. Be3 Kh2 56. f6 Kh1 57. Qg1#
Makavelispo,saubhagya,0-1,1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Bd3 Bxd3 6. Qxd3 Nd7 7. c3 c5 8. O-O Qb6 9. b3 Ne7 10. Bb2 Ng6 11. Nbd2 Be7 12. h3 O-O 13. c4 dxc4 14. Nxc4 Qc7 15. Rfd1 cxd4 16. Qxd4 Rfd8 17. Qg4 b5 18. Ncd2 Ndxe5 19. Rac1 Qxc1 20. Bxc1 Nxg4 21. hxg4 Bb4 22. Kh2 Rd6 23. a3 Bc3 24. Rf1 Rad8 25. Ne4 Rc6 26. Bg5 f6 27. Be3 a5 28. b4 axb4 29. axb4 Bxb4 30. Rb1 Rc4 31. Nfd2 Bxd2 32. Nxd2 Rxg4 33. f3 Ra4 34. Rxb5 Ra2 35. Ne4 Ne5 36. Rb6 Nxf3+ 37. Kg3 Ne5 38. Rxe6 Ra3 39. Kf4 Ng6+ 40. Kf3 Kf7 41. Rb6 Ne5+ 42. Kf4 Rxe3 43. Kxe3 Nc4+ 44. Kf4 Nxb6 45. g4 Rd4 46. Kf3 Rxe4 47. Kxe4 Ke6 48. Kf4 Nd5+ 49. Kg3 g5 50. Kh3 Ke5 51. Kg3 Ne3 52. Kf2 Nxg4+ 53. Kg3 f5 54. Kf3 h5 55. Kg3 f4+ 56. Kf3 Kf5 57. Kg2 Ne3+ 58. Kf3 g4+ 59. Kf2 h4 60. Kg1 g3 61. Kh1 Kg4 62. Kg1 f3 63. Kh1 h3 64. Kg1 f2+ 65. Kh1 g2+ 66. Kh2 g1=Q#
Sparrie,saubhagya,1-0,1. e4 b6 2. d4 Bb7 3. Bd3 g6 4. Nf3 Bg7 5. O-O e6 6. c4 Nf6 7. d5 exd5 8. cxd5 O-O 9. Nc3 d6 10. Bg5 Nbd7 11. Qd2 Qc8 12. Rfe1 Re8 13. a4 a5 14. Bb5 c6 15. dxc6 Bxc6 16. Qxd6 Bxb5 17. axb5 Re6 18. Qd2 Nc5 19. e5 Ng4 20. Nd5 Qb8 21. Rad1 Nxe5 22. Ne7+ Kh8 23. Nxe5 Rxe5 24. Rxe5 Bxe5 25. Nc6 Qe8 26. Re1 Nd7 27. Nxe5 Nxe5 28. Bf6+ Kg8 29. Bxe5 Rd8 30. Qe2 Rd7 31. Bc3 Qxe2 32. Rxe2 Rd1+ 33. Re1 Rxe1+ 34. Bxe1 f5 35. Bc3 Kf7 36. Bd4 Ke6 37. b3 Kd5 38. Bxb6 Kd6 39. Bxa5 Kc5 40. b6 Kc6 41. h4 Kb7 42. Kh2
saubhagya,Sparrie,0-1,1. d4 d5 2. c4 dxc4 3. Nc3 e5 4. d5 Nd7 5. e4 Nb6 6. Bxc4 Nxc4 7. Qa4+ Bd7 8. Qxc4 a6 9. Nge2 Bd6 10. O-O Ne7 11. f4 O-O 12. f5 Nc8 13. f6 gxf6 14. Bh6 Re8 15. Qd3 Kh8 16. Qg3 Rg8 17. Qf3 f5 18. exf5 Qh4 19. Qe3 Ne7 20. f6 Nf5 21. Rxf5 Bxf5 22. Bg7+ Rxg7 23. fxg7+ Kxg7 24. Rf1 Bg6 25. Ng3 b6 26. Kh1 Qh6 27. Qxh6+ Kxh6 28. Nf5+ Kg5 29. h4+ Kg4 30. Nh6+ Kxh4 31. Rf3 Rf8 32. Ne2 f5 33. Rh3+ Kg5 34. Kg1 f4 35. g3 Bc5+ 36. Kg2 f3+ 37. Kf1 fxe2+
saubhagya,Sparrie,0-1,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. e5 d5 6. exd6 Qxd6 7. O-O Be7 8. Bg5 O-O 9. h3 Bf5 10. Na3 a6 11. Bd3 Be6 12. Nc4 Qc5 13. Bxf6 Bxf6 14. Ncd2 Rad8 15. Be4 Ne5 16. Nxe5 Bxe5 17. Nb3 Qb6 18. Kh1 g6 19. f4 Bg7 20. Qf3 c6 21. Rab1 f5 22. Bd3 c5 23. Qe2 Qc6 24. Rfe1 Rfe8 25. Bc4 Bd5 26. Bxd5+ Qxd5 27. Qf2 c4 28. Nd2 b5 29. Rxe8+ Rxe8 30. Re1 Re6 31. Rxe6 Qxe6 32. Nf3 Qe4 33. Ng5 Qe3 34. Qxe3 dxe3 35. Nf3 Bxb2 36. Kg1 Bc1 37. Kf1 Bd2 38. Ke2 c3 39. Nd4 Kf7 40. Nc6 Ke6 41. Nb4 a5 42. Nc6 Kd5 43. Nxa5 Kc5 44. Nb3+ Kb4 45. g3 Ka3 46. Nd4 Kxa2
Sparrie,saubhagya,1-0,1. e4 e5 2. Nf3 d6 3. d4 exd4 4. Nxd4 Nf6 5. Nc3 Be7 6. Be2 O-O 7. O-O Be6 8. Nxe6 fxe6 9. Bc4 d5 10. exd5 exd5 11. Nxd5 Nxd5 12. Qxd5+ Qxd5 13. Bxd5+ Kh8 14. Bxb7
saubhagya,Sparrie,0-1,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Bf4 d6 5. Nf3 O-O 6. g3 Nc6 7. Bg2 Re8 8. O-O h6 9. Qc1 Kh7 10. Re1 e5 11. dxe5 dxe5 12. Be3 Be6 13. b3 e4 14. Nd2 Ng4 15. Ndxe4 Nxe3 16. Qxe3 f5 17. Nc5 Bf7 18. Qc1 Qd4 19. N5a4 Rad8 20. e3 Qf6 21. Rb1 Ne5 22. Rd1 c6 23. Qa3 h5 24. Qc5 h4 25. Rxd8 Rxd8 26. Qxa7 hxg3 27. hxg3 g5 28. Qxb7 f4 29. Nc5 f3 30. Bh3 g4 31. Bf1 Ng6 32. Nd7 Qxc3 33. Qxc6 Be8 34. Nf8+ Nxf8 35. Qe4+ Bg6 36. Qxg4 Qf6 37. Qh4+ Kg8 38. Qxf6 Bxf6 39. Re1 Rd2 40. Bh3 Bd3 41. e4 Re2 42. e5 Rxe1+ 43. Kh2 Rxe5
KeyanTheGreat,saubhagya,0-1,1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. Qxd3 e6 6. Nf3 Nd7 7. O-O c5 8. c3 cxd4 9. cxd4 Ne7 10. Ne1 Nc6 11. Be3 Be7 12. Nd2 O-O 13. f4 f5 14. g3 Qb6 15. Qb3 Rac8 16. Qxb6 Nxb6 17. b3 h6 18. Nd3 Nb4 19. Nxb4 Bxb4 20. Rfc1 Bc3 21. Rab1 Rf7 22. Nf3 Rfc7 23. Rd1 Bb4 24. Bd2 Bxd2 25. Nxd2 Rc2 26. a4 a5 27. Nf3 R2c3 28. Ne1 Re3 29. Ng2 Re2 30. Rdc1 Rcc2 31. Rxc2 Rxc2 32. Ne3 Rc3 33. Ng2 Nd7 34. Kf2 Nb8 35. Ke1 Rc2 36. Kf1 Nc6 37. Kg1 Nxd4 38. Ne1 Rc3 39. b4 Rb3 40. Rxb3 Nxb3 41. bxa5 Nxa5 42. Nd3 Kf7 43. Nb2 Ke7 44. Kf2 Kd7 45. Ke3 Kc6 46. Kd4 g5 47. fxg5 hxg5 48. h4 gxh4 49. gxh4 Kd7 50. h5 Ke7 51. Nd3 Kf7 52. Nf4 Nc6+ 53. Kc5 Nxe5 54. Kb6 d4 55. Kxb7 d3 56. Nxd3 Nxd3 57. a5 Nb4 58. Kb6 f4 59. Kb5 f3 60. h6 f2 61. h7 Kg7 62. Kxb4 f1=Q 63. h8=Q+ Kxh8 64. Kc5 Qa6 65. Kb4 Kg7 66. Ka4 Kf6 67. Kb4 e5 68. Ka4 e4 69. Kb4 e3 70. Kc5 Qxa5+ 71. Kd4 e2 72. Kd3 e1=Q 73. Kc2 Qad2+ 74. Kb3 Qc3+ 75. Ka4 Qb4#
saubhagya,KeyanTheGreat,1-0,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 d6 5. c3 dxc3 6. Nxc3 Nf6 7. Ng5 Ne5 8. Bb3 h6 9. Nf3 Nxf3+ 10. Qxf3 Be7 11. O-O Bg4 12. Qg3 Qd7 13. h3 Bxh3 14. gxh3 Nh5 15. Qf3 Nf6 16. Nd5 c6 17. Nxe7 Qxe7 18. Re1 O-O-O 19. e5 dxe5 20. Qf5+ Qd7 21. Qxd7+ Kxd7 22. Rxe5 Rhf8 23. Be3 a6 24. Rd1+ Kc7 25. Re7+ Kc8 26. Rxd8+ Rxd8 27. Rxf7 Rd7 28. Be6 Kc7 29. Bxd7 Nxd7 30. Rxg7 Kd6 31. Rg6+
KeyanTheGreat,saubhagya,0-1,1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. Qxd3 e6 6. Nf3 Nd7 7. c3 Qb6 8. b3 c5 9. Be3 cxd4 10. cxd4 Bb4+ 11. Bd2 Ne7 12. Bxb4 Qxb4+ 13. Qd2 Nc6 14. Qxb4 Nxb4 15. Kd2 O-O-O 16. Rc1+ Kb8 17. a3 Nc6 18. b4 a6 19. Ra2 f6 20. exf6 gxf6 21. Rb2 e5 22. dxe5 fxe5 23. b5 axb5 24. Rxb5 Ne7 25. Nc3 d4 26. Ne4 Ng6 27. Rcb1 Ka8 28. Rxb7 Rb8 29. R7b4 Rxb4 30. Rxb4 Rb8 31. Rxb8+ Kxb8 32. Kd3 Kc7 33. Kc4 Kc6 34. a4 Nb6+ 35. Kb4 Nf4 36. a5 Nbd5+ 37. Kc4 Nc7 38. Nxe5+ Kb7 39. Nd3 Nxd3 40. Kxd3 Nb5 41. Nd2 Ka6 42. Nf3 Kxa5 43. Nxd4 Nd6 44. Ke3 Nc4+ 45. Ke4 Nd6+
saubhagya,KeyanTheGreat,1-0,1. d4 d5 2. c4 e6 3. Nc3 c6 4. e3 Nf6 5. Nf3 Bd6 6. Be2 Nbd7 7. O-O O-O 8. a3 h6 9. Re1 Re8 10. Qc2 e5 11. dxe5 Bxe5 12. cxd5 Bxc3 13. bxc3 Nxd5 14. c4 N5f6 15. Bb2 Qc7 16. Rad1 Nc5 17. Bxf6 gxf6 18. Nd4 Ne6 19. Bf3 Ng5 20. h4 Nxf3+ 21. Nxf3 Be6 22. Qc3 f5 23. Qf6 Qe7 24. Qxh6 Qf8 25. Qxf8+ Kxf8 26. Ng5 Ke7 27. Nxe6 fxe6 28. e4
saubhagya,DianaMirza,1/2-1/2,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Bg5 d6 5. Qd2 O-O 6. Bh6 c5 7. Bxg7 Kxg7 8. Nf3 cxd4 9. Nxd4 Nc6 10. e3 Nxd4 11. exd4 Bf5 12. Bd3 Bxd3 13. Qxd3 Rc8 14. b3 a6 15. O-O Qa5 16. Rac1 Nd7 17. f4 d5 18. c5 b6 19. Nxd5 bxc5 20. Nxe7 Rce8 21. Nc6 Qxa2 22. dxc5 Re2 23. Rf2 Rxf2 24. Qd4+ f6 25. Qxf2 Qxb3 26. Qd4 Qe6 27. Rd1 Qxc6 28. Qxd7+ Qxd7 29. Rxd7+ Rf7 30. Rd6 Rc7 31. Rxa6 Rxc5 32. Ra7+ Kh6 33. Kf2 Rc2+ 34. Kg3 g5 35. fxg5+ fxg5 36. Ra6+ Kh5 37. Kh3 g4+ 38. Kg3 Rc3+ 39. Kf2 Kg5 40. Ra5+ Kf4 41. Ra4+ Kf5 42. Ra5+ Kg6 43. Ra6+ Kg7 44. Ra7+ Kg6 45. Ra6+ Kg5 46. Ra5+ Kg6 47. Ra4 h5 48. Ra6+ Kg7 49. Rd6 Rc2+ 50. Kg3 Rc3+ 51. Kh4 Rc2 52. Kg3 Rc3+ 53. Kf2 Rc2+ 54. Kf1 Rc3 55. Rd5 Kg6 56. Rd6+ Kg5 57. Re6 Kh4 58. Re5 g3 59. Re4+ Kg5 60. hxg3 Rxg3 61. Kf2 Rg4 62. Re5+ Kh4 63. Rd5 Rf4+ 64. Ke3 Rg4 65. Kf3 Rg3+ 66. Kf2 Rg4 67. Rd3 Rf4+ 68. Rf3 Rxf3+ 69. gxf3 Kg5 70. Kg3 Kf5 71. Kf2 Kf4 72. Kg2 h4 73. Kf2 h3 74. Kg1 Kxf3 75. Kh2 Kg4 76. Kh1 Kh4 77. Kg1 Kg3 78. Kh1 Kh4 79. Kg1 Kg4 80. Kh2 Kf3 81. Kxh3
saubhagya,DianaMirza,0-1,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. g3 d6 5. Bg2 O-O 6. Nf3 Nbd7 7. O-O a6 8. Be3 Rb8 9. a4 Ng4 10. Bd2 e5 11. d5 f5 12. e4 f4 13. h3 Ngf6 14. gxf4 exf4 15. Re1 g5 16. Nxg5 Ne5 17. b3 Nd3 18. Rf1 Nxd5 19. exd5 Qxg5 20. Qc2 Bf5 21. Qd1 Bxh3 22. Qf3 Bxg2 23. Qxg2 Qxg2+ 24. Kxg2 f3+ 25. Kh2 Rf5 26. Rh1 Rh5+ 27. Kg1 Rxh1+ 28. Kxh1 Nxf2+ 29. Kg1 Nh3+ 30. Kh2 Nf2 31. Kg3 Bxc3 32. Bxc3 Ne4+ 33. Kxf3 Nxc3 34. Rg1+ Kf7 35. Ke3 Re8+ 36. Kd4 Ne2+
saubhagya,JawnyB,0-1,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Bd2 O-O 5. Nf3 c5 6. e3 Nc6 7. Bd3 d5 8. cxd5 exd5 9. O-O c4 10. Bc2 Bg4 11. h3 Bh5 12. a3 Ba5 13. Rc1 a6 14. Bb1 Qd6 15. g3 Ne4 16. Kg2 Rae8 17. Qc2 Bg6 18. Nxe4 Bxe4 19. Qd1 Bc7 20. Bxe4 Rxe4 21. Nh2 f5 22. Qf3 Qg6 23. Bb4 Rf7 24. Rg1 f4 25. exf4 Nxd4 26. Qc3 Ne2 27. Qf3 Nxf4+ 28. Kh1 Nxh3 29. Qg2 Nxf2+ 30. Qxf2 Rxf2 31. Rgf1 Qxg3 32. Rxf2 Qxf2 33. Rf1 Qxh2#
saubhagya,MASINA89,0-1,1. d4 d6 2. c4 Nf6 3. Nc3 Bg4 4. Bg5 c6 5. f3 Bh5 6. g4 Bg6 7. e4 Qa5 8. Qd2 e5 9. O-O-O Be7 10. d5 Nbd7 11. dxc6 bxc6 12. h4 h6 13. Bxf6 Nxf6 14. h5 Bh7 15. Bd3 Qb6 16. Nge2 Nd7 17. Kb1 Rb8 18. b3 Nc5 19. Bc2 g6 20. f4 exf4 21. Nxf4 g5 22. Nd3 Ne6 23. Rde1 O-O 24. e5 Rbd8 25. exd6 Rxd6 26. Qe2 Qd4 27. Rd1 Qxc3 28. Ne5 Bxc2+ 29. Qxc2 Qxc2+ 30. Kxc2 Rfd8 31. Rxd6 Rxd6 32. Rd1 Rxd1 33. Kxd1 Nd8 34. Nd7 Kg7 35. Nb8 Bd6 36. Na6 Kf6 37. c5 Be5 38. Nb4 Ke6 39. Nd3 Kd5 40. Kd2 Bf4+ 41. Ke2 Ke4 42. Nf2+ Kd5 43. Nd3 Bh2 44. b4 Ne6 45. a3 Nd4+ 46. Ke3 Nc2+ 47. Kd2 Nxa3 48. Kc3 Nb5+ 49. Kb3 Kd4 50. Nb2 Be5 51. Na4 Ke4 52. Kc4 a6 53. Nb6 Kf4 54. Nd7 Kxg4 55. Nb8 Kxh5 56. Nxc6 Kg4 57. Nxe5+ Kg3 58. Nxf7 Na3+ 59. Kb3 h5 60. Nxg5 h4 61. Ne4+ Kf4 62. Nf2 Kg3
piotrek212,saubhagya,1-0,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 b5 5. Bb3 Bc5 6. O-O Nf6 7. Nxe5 Nxe5 8. d4 Bxd4 9. Qxd4 d6 10. f4 Nc6 11. Qe3 O-O 12. Kh1 Re8 13. Nd2 Bb7 14. c4 bxc4 15. Bxc4 Nb4 16. e5 Nc2 17. Bxf7+ Kxf7 18. Qb3+ d5 19. Qxc2 Ne4 20. Nxe4 dxe4 21. Qb3+ Bd5 22. Qh3 Kg8 23. Be3 Rb8 24. b3 a5 25. Rad1 a4 26. bxa4 Rb2 27. Qh5 c6 28. a3 Qa5 29. Qxe8#
Ohnezahn007,saubhagya,1-0,1. e4 c6 2. Bc4 d5 3. Bb3 dxe4 4. Qh5 e6 5. Nc3 Nf6 6. Qh4 Bb4 7. Nxe4 Nxe4 8. Qxe4 Be7 9. Nf3 O-O 10. c3 Nd7 11. d4 Nf6 12. Qh4 Nd5 13. Qh5 Nf6 14. Qh4 a5 15. Bc2 g6 16. Bh6 Re8 17. Ne5 Nd7 18. Qf4 Nf6 19. h4 c5 20. h5 Bd6 21. hxg6 Bxe5 22. gxh7+ Kh8 23. Qxe5 Qd5 24. Qxf6#
saubhagya,AngelikaCan,0-1,1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. Bb5+ c6 5. Bd3 Nf6 6. Nc3 Bd6 7. Kf1 O-O 8. g3 Bh3+ 9. Kg1 Nbd7 10. Bf1 Bg4 11. Bg2 Ne4 12. h3 Bh5 13. Kh2 Nxf2 14. Qf1 Nxh1 15. Bxh1 Qf6 16. d3 Ne5 17. Nxe5 Qxf1 18. Bg2 Qf2 19. Bf4 Bxe5 20. Bxe5 Bf3 21. Rg1 Rae8 22. Bf4 d4 23. Ne4 Bxe4 24. dxe4 Rxe4 25. Rf1 Qxc2 26. Bg5 Re2 27. Rg1 Rfe8 28. Bf4 Rf2 29. h4 Ree2 30. Kh3 Rxg2 31. Rxg2 Rxg2 32. Kg4 Qe2+ 33. Kf5 Qe6+ 34. Kg5 h6+ 35. Kh5 Qg6#
MASINA89,saubhagya,1-0,1. d4 c6 2. Nf3 d5 3. Bg5 Bf5 4. e3 Nf6 5. Bd3 Bxd3 6. cxd3 e6 7. Nc3 Be7 8. O-O Nbd7 9. Bxf6 Nxf6 10. e4 O-O 11. Qe2 dxe4 12. dxe4 c5 13. d5 exd5 14. exd5 Nxd5 15. Nxd5 Qxd5 16. Qxe7 Rfe8 17. Qg5 Qd6 18. Rad1 Qc6 19. h4 Re6 20. Rd8+ Rxd8 21. Qxd8+ Re8 22. Qd3 h6 23. Rd1 Re6 24. Qd8+ Re8 25. Qd7 Qe6 26. Qxe6 Rxe6 27. Rd7 Kh7 28. Rxb7 Rb6 29. Rxb6 axb6 30. Ne5 f6 31. Nd7 Kg6 32. Nxb6 Kf7 33. Na4 Ke6 34. Nxc5+ Kd5 35. Nb3 Kc4 36. Nc1 Kd4 37. a4 Kc4 38. b3+ Kb4 39. Nd3+ Kxb3 40. a5
saubhagya,antrenatul75,0-1,1. d4 d5 2. e3 e6 3. c4 c6 4. Nc3 f5 5. Nf3 Nf6 6. Bd2 Be7 7. Be2 O-O 8. O-O Nbd7 9. Rc1 Ne4 10. h3 Bf6 11. Nh2 Nxd2 12. Qxd2 g5 13. f4 h6 14. fxg5 Bxg5 15. Kh1 Nf6 16. Nf3 Ne4 17. Nxe4 dxe4 18. Nxg5 Qxg5 19. d5 Bd7 20. dxc6 Bxc6 21. b4 Rad8 22. Qc3 Rd3 23. Bxd3 exd3 24. Qd2 Qg3 25. Rf3 Bxf3 26. gxf3 Qxf3+ 27. Qg2+ Qxg2+ 28. Kxg2 e5 29. Rd1 e4 30. Kf2 Kf7 31. Rg1 Kf6 32. Ke1 Rc8 33. c5 b6 34. cxb6 axb6 35. Kd2 Rc2+ 36. Kd1 Rxa2 37. h4 Ra1+
xamax2000,saubhagya,1-0,1. c4 c6 2. d4 d5 3. Nf3 Nf6 4. e3 Bg4 5. Qb3 Qc7 6. Ne5 Bf5 7. Nc3 e6 8. Bd2 Bd6 9. Rc1 b6 10. cxd5 exd5 11. Nb5 Qe7 12. Nxc6 Nxc6 13. Rxc6 O-O 14. Rxd6
OluJ,saubhagya,0-1,1. Nf3 c5 2. e4 Nc6 3. Bb5 d6 4. c3 g6 5. d4 cxd4 6. cxd4 Bg7 7. d5 Qa5+ 8. Nc3 Bxc3+ 9. bxc3 Qxb5 10. Nd4 Nxd4 11. Qxd4 Nf6 12. c4 Qb4+ 13. Bd2 Qa4 14. O-O O-O 15. Bc3 Bg4 16. h3 Be2 17. g4 Qxc4 18. Qxc4 Bxc4 19. Bxf6 exf6 20. Rfc1 b5 21. a4 a6 22. Kg2 Rfe8 23. f3 h5 24. gxh5 g5 25. Kg3 Kg7 26. Rg1 Rh8 27. Kg4 Rxh5 28. Kxh5 Be2 29. Kg4 Rh8 30. axb5 axb5 31. Ra6 Rh4+ 32. Kg3 Rf4 33. Rxd6 Rxf3+ 34. Kg2 Rb3 35. h4 Bf3+ 36. Kf2 g4 37. h5 Rb2+ 38. Ke3 Re2+ 39. Kf4 Rxe4+ 40. Kg3 Rb4 41. h6+ Kxh6 42. Rxf6+ Kg7 43. Rf4 Rb3 44. Kh4 Bxd5 45. Rgxg4+ Kf8 46. Rd4 Be6 47. Rg5 Rh3#
